Meses;Nacional;Extranjero;Total (2004);Nacional;Extranjero;Total (2005);Nacional;Extranjero;Total (2006);Nacional;Extranjero;Total (2007);Nacional;Extranjero;Total (2008);Nacional;Extranjero;Total (2009);Nacional;Extranjero;Total (2010);Nacional;Extranjero;Total (2011);Nacional;Extranjero;Total (2012);Nacional;Extranjero;Total (2013);Nacional;Extranjero;Total (2014);Nacional;Extranjero;Total (2015);Nacional;Extranjero;Total (2016);Nacional;Extranjero;Total (2017);Nacional;Extranjero;Total (2018);Nacional;Extranjero;Total (2019);Nacional;Extranjero;Total (2020);Nacional;Extranjero;Total (2021);Nacional;Extranjero;Total (2022);Nacional;Extranjero;Total (2023)
Enero;1269;372;1641;1491;420;1911;2318;139;2457;2839;502;3341;3523;736;4259;3410;961;4371;4092;1430;5522;4356;1377;5733;5981;1397;7378;6325;1525;7850;5856;1574;7430;12683;2088;14771;12444;3478;15922;15361;4577;19938;17639;4240;21879;23783;4322;28105;21524;4799;26323;14782;172;14954;16587;9771;26358;9679;1513;11192
Febrero;1416;379;1795;1534;327;1861;2347;39;2386;3104;536;3640;2781;656;3437;1819;605;2424;3099;1114;4213;3623;1156;4779;5192;1163;6355;5644;1160;6804;6886;1447;8333;11886;1728;13614;11535;2968;14503;10392;3448;13840;16158;4142;20300;15325;4576;19901;23633;4421;28054;0;0;0;12630;1057;13687;10931;679;11610
Marzo;1240;356;1596;4981;553;5534;1903;58;1961;1715;869;2584;5407;901;6308;1026;906;1932;2206;1266;3472;2199;1243;3442;2833;1327;4160;10677;1935;12612;3674;1589;5263;5058;2225;7283;20271;4107;24378;4384;1930;6314;28305;4886;33191;10585;4946;15531;9965;1382;11347;4233;30;4263;7505;1447;8952;5257;623;5880
Abril;10514;860;11374;1331;535;1866;6138;4053;10191;11684;1296;12980;1677;885;2562;6800;1344;8144;8619;1780;10399;10865;1917;12782;12043;2437;14480;2827;2199;5026;18621;2608;21229;19167;3431;22598;4507;4473;8980;12110;3678;15788;6109;9549;15658;34853;7183;42036;0;0;0;4962;115;5077;18250;2360;20610;16486;1788;18274
Mayo;3510;1349;4859;2060;884;2944;3888;2346;6234;4561;2130;6691;6361;1892;8253;2896;2050;4946;5054;2787;7841;4657;3026;7683;5702;3756;9458;6092;3652;9744;7432;4153;11585;15486;4588;20074;8867;6324;15191;10457;7641;18098;12926;8810;21736;17714;8731;26445;0;0;0;11801;255;12056;14689;4058;18747;6386;2517;8903
Junio;3471;1628;5099;1514;969;2483;2994;1771;4765;4294;2942;7236;3626;2884;6510;2906;3933;6839;3522;3280;6802;3947;4438;8385;7519;4651;12170;7319;4992;12311;6896;5033;11929;14070;5417;19487;7990;7994;15984;10981;8384;19365;12993;9506;22499;15699;12494;28193;0;0;0;12987;551;13538;10345;4423;14768;11173;3426;14599
Julio;10600;1501;12101;13981;2784;16765;10933;9744;20677;11106;4424;15530;15301;4987;20288;16396;6043;22439;15721;6674;22395;18873;6574;25447;13917;5642;19559;18544;6245;24789;28099;6003;34102;36945;7022;43967;42171;8606;50777;50933;11246;62179;46151;12359;58510;57815;11276;69091;0;0;0;44394;879;45273;33118;6013;39131;30415;2717;33132
Agosto;9600;1347;10947;11981;2609;14590;9488;7871;17359;12344;4653;16997;10500;4371;14871;6829;6048;12877;10053;5797;15850;13014;5413;18427;16280;4647;20927;16107;4628;20735;19156;5672;24828;29707;6452;36159;25403;8594;33997;36408;13671;50079;52622;11311;63933;53862;9254;63116;0;0;0;51973;2851;54824;30568;5777;36345;26706;4816;31522
Septiembre;4830;497;5327;3215;943;4158;6802;5088;11890;6708;2221;8929;2885;2664;5549;4385;3847;8232;5236;3178;8414;5858;3369;9227;8391;3257;11648;11113;3411;14524;10739;3565;14304;18156;5507;23663;11736;6346;18082;13419;7104;20523;27930;9592;37522;25038;7971;33009;0;0;0;17599;1846;19445;14844;5785;20629;10990;3767;14757
Octubre;28132;1467;29599;30101;1312;31413;14387;20597;34984;21710;10112;31822;14099;2228;16327;7851;2564;10415;10323;2445;12768;12087;2163;14250;11864;2468;14332;12827;2873;15700;14984;3176;18160;23461;4246;27707;21568;5166;26734;16165;6447;22612;22784;7339;30123;30140;3467;33607;6339;1207;7546;27140;1914;29054;17205;4805;22010;15557;3932;19489
Noviembre;22438;898;23336;27642;489;28131;10799;15543;26342;26266;3114;29380;15495;1176;16671;8810;1537;10347;10167;1505;11672;9894;1406;11300;9330;1730;11060;11119;1928;13047;12293;2230;14523;7204;3533;10737;20680;4604;25284;6622;13394;20016;23847;5558;29405;24617;4463;29080;15833;107;15940;13269;1618;14887;10911;3067;13978;11469;3713;15182
Diciembre;1604;24;1628;7214;472;7686;4474;5640;10114;4869;983;5852;3277;618;3895;3150;1233;4383;1760;811;2571;4262;1103;5365;4532;1475;6007;4224;1210;5434;4427;1749;6176;6366;2734;9100;7715;3604;11319;10364;4253;14617;14647;9037;23684;12856;4618;17474;9517;236;9753;7933;803;8736;8164;1692;9856;11422;1624;13046
Total;98624;10678;109302;107045;12297;119342;76471;72889;149360;111200;33782;144982;84932;23998;108930;66278;31071;97349;79852;32067;111919;93635;33185;126820;103584;33950;137534;112818;35758;148576;139063;38799;177862;200189;48971;249160;194887;66264;261151;197596;85773;283369;282111;96329;378440;322287;83301;405588;86811;12152;98963;211073;11034;222107;194816;50255;245071;166471;31115;197586
